ParticipantID|Sender|Type|Onset|Enter|Typingti|Speed|AppOrig.|Text|Recipients|Blocked|KDels|DDels|DIns|DDels*N|DIns*N|TaggedText
aoeueu|aoeuaoeuaoeu|KEYPRESS|0|0|0|0|aoeuaoeuaoeu|||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|259|259|0|0|aoeuaoeuaoeu|h||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|260|260|0|0|aoeuaoeuaoeu|he||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|424|426|2|1500|aoeuaoeuaoeu|hey||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|Default|0|517|517|5|aoeuaoeuaoeu|hey|, sthtsnh|OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|971|972|1|0|aoeuaoeuaoeu|||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|8128|8128|0|0|sthtsnh|||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|8222|8222|0|0|sthtsnh|h||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|8285|8285|0|0|sthtsnh|ho||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|8446|8446|0|0|sthtsnh|how||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|8535|8535|0|0|sthtsnh|howd||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|8610|8611|1|5000|sthtsnh|howdy||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|8743|8743|0|0|sthtsnh|howdy ||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|8779|8779|0|0|sthtsnh|howdy t||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|8826|8826|0|0|sthtsnh|howdy th||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|8910|8910|0|0|sthtsnh|howdy the||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|8958|8958|0|0|sthtsnh|howdy ther||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|9165|9166|1|11000|sthtsnh|howdy there||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|Default|8127|9290|1163|9|sthtsnh|howdy there|, aoeuaoeuaoeu|OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|11664|11664|0|0|aoeuaoeuaoeu|||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|11796|11797|1|1000|aoeuaoeuaoeu|h||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|11934|11934|0|0|aoeuaoeuaoeu|ho||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|12230|12230|0|0|aoeuaoeuaoeu|ho ||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|12478|12478|0|0|aoeuaoeuaoeu|ho||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|12594|12594|0|0|aoeuaoeuaoeu|how||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|12705|12705|0|0|aoeuaoeuaoeu|how ||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|12876|12876|0|0|aoeuaoeuaoeu|how y||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|12926|12926|0|0|aoeuaoeuaoeu|how yo||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|13027|13027|0|0|aoeuaoeuaoeu|how you||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|13160|13160|0|0|aoeuaoeuaoeu|how you ||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|13226|13226|0|0|aoeuaoeuaoeu|how you d||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|13376|13377|1|10000|aoeuaoeuaoeu|how you do||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|13493|13493|0|0|aoeuaoeuaoeu|how you doo||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|13575|13576|1|12000|aoeuaoeuaoeu|how you dooi||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|13873|13873|0|0|aoeuaoeuaoeu|how you dooin||OK|0|0|0|0|0|
aoeueu|aoeuaoeuaoeu|Default|973|13990|13017|0|aoeuaoeuaoeu|how you dooin|, sthtsnh|OK|1|1|0|1|0|
aoeueu|aoeuaoeuaoeu|KEYPRESS|15052|15052|0|0|aoeuaoeuaoeu|||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|16246|16246|0|0|sthtsnh|||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|16348|16348|0|0|sthtsnh|g||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|16481|16481|0|0|sthtsnh|go||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|16531|16532|1|3000|sthtsnh|goo||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|16664|16664|0|0|sthtsnh|good||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|16712|16712|0|0|sthtsnh|good ||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|16830|16830|0|0|sthtsnh|good g||OK|0|0|0|0|0|
snthsnthnst|sthtsnh|KEYPRESS|16962|16963|1|7000|sthtsnh|good go||OK|0|0|0|0|0|
